station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
1092,"KALU AT ATALE VILLAGE, KALYAN, THANE",MAHARASHTRA,2017,27,35,,7.3,6.4,7.8,121,15450,3.2,75,0.5,7.3,22,170,110,540,2017,"Calendar Year (Jan - Dec), 2017"
2168,"MITHI RIVER, MAHIM, BANDRA, MUMBAI",MAHARASHTRA,2017,23,33,,5.6,6.6,7.6,297,2139,6,250,0.3,4.3,540,1600,920,1600,2017,"Calendar Year (Jan - Dec), 2017"
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA), PUNJAB",PUNJAB,2017,9,28,,4.3,7.4,8.2,337,1833,7,90,0.09,1.6,2000,12000,15000,70000,2017,"Calendar Year (Jan - Dec), 2017"
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,2018,14,30,,3.4,7.2,7.9,607,2066,14,110,0.52,1.8,3300,13000,24000,54000,2018,"Calendar Year (Jan - Dec), 2018"
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI",PUNJAB,2018,11,29,,4,7.1,8,607,2187,14,58,0.21,1.4,2700,21000,21000,63000,2018,"Calendar Year (Jan - Dec), 2018"
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,2018,15,31,,24,6.6,8,418,1775,12,68,0.42,2.1,2600,11000,21000,35000,2018,"Calendar Year (Jan - Dec), 2018"
3204,"VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,2019,20,29,,3.1,7,7.8,305,1554,1.8,38,0.42,1.06,96,1800,540,1800,2019,"Calendar Year (Jan - Dec), 2019"
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,",GUJARAT,2019,26,31,,6.7,7.2,7.4,633,4238,1,28,0.03,0.23,6,27,53,143,2019,"Calendar Year (Jan - Dec), 2019"
1865,DHADAR RIVER AT KOTHADA,GUJARAT,2019,27,32,,1.8,7.1,7.9,530,1673,2.7,33,0.34,2.16,210,1600,520,1600,2019,"Calendar Year (Jan - Dec), 2019"
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,",GUJARAT,2019,25,31,,6.7,7.4,8.8,717,11920,2.2,258.6,0.22,0.61,17,49,110,170,2019,"Calendar Year (Jan - Dec), 2019"
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2019,28,33,,4.4,7.1,7.8,876,3230,2,43,0.13,0.88,70,140,170,460,2019,"Calendar Year (Jan - Dec), 2019"
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT,2019,28,34,,4.4,7.2,8.1,865,2720,2,49,0.19,0.89,220,1400,1100,4000,2019,"Calendar Year (Jan - Dec), 2019"
4160,"D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI, PATIALA",PUNJAB,2019,13,36,,3.6,7,8,750,2040,14,66,0.66,1.49,3100,9200,24000,48000,2019,"Calendar Year (Jan - Dec), 2019"
1705,"GHAGGAR AT U/S SARDULGARH, PUNJAB",PUNJAB,2019,14,34,,6.5,7.4,7.9,313,1390,6,60,0.32,0.93,1500,4100,12000,24000,2019,"Calendar Year (Jan - Dec), 2019"
1704,"GHAGGAR AT D/S SARDULGARH, PUNJAB",PUNJAB,2019,14,33,,5.9,7.5,7.9,394,1410,8,64,0.51,1.02,1700,8400,17000,35000,2019,"Calendar Year (Jan - Dec), 2019"
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,2019,17,35,,6.9,6.5,7.7,51,29790,2,50,0.22,1.4,5,920,46,1600,2019,"Calendar Year (Jan - Dec), 2019"
2168,"MITHI RIVER, MAHIM, BANDRA, MUMBAI",MAHARASHTRA,2019,22,37,,7.3,6.1,7.8,129,58970,3,50,0.1,2.4,13,3500,46,9200,2019,"Calendar Year (Jan - Dec), 2019"
4162,"CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR, VILL MUBARKPUR",PUNJAB,2019,13,35,,,7,8,731,1227,30,210,0.98,2.51,49000,210000,140000,430000,2019,"Calendar Year (Jan - Dec), 2019"
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2019,28,30,,4.1,6.3,7.9,97,478,,6,0.39,45,7900,350000,13000,540000,2019,"Calendar Year (Jan - Dec), 2019"
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2018,26,32,5.2,13,6.1,8.8,48,411,,5.6,0.15,0.63,3300,24000,7900,92000,2018,"Calendar Year (Jan - Dec), 2018"
2442,GAUTAMI-GODAVARI RIVER NEAR BALAYOGI BRIDGE,PUDUCHERRY,2017,30,30,9.4,9.4,8.5,8.5,6190,6190,,,0.09,0.09,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2443,GAUTAMI-GODAVARI RIVER NEAR ADAVIPOLAM,PUDUCHERRY,2017,30,30,8.5,8.5,8.3,8.3,10160,10160,,,0.08,0.08,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WAT",GOA,2018,26,32,5.2,8.1,6.5,8.4,44,228,,4.2,,0.56,130,4900,220,7000,2018,"Calendar Year (Jan - Dec), 2018"
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUE",GOA,2018,27,31.1,5.9,7.8,6.5,7.6,47,220,,3.5,,0.73,780,4900,1100,7900,2018,"Calendar Year (Jan - Dec), 2018"
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",GOA,2018,26,33,4.8,7.9,6.6,8.2,66,7108,,2.2,,1.46,780,13000,1300,24000,2018,"Calendar Year (Jan - Dec), 2018"
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,2019,26,32,5,6.3,6.1,7.9,7600,53220,,1.7,0.04,0.82,130,2300,310,3500,2019,"Calendar Year (Jan - Dec), 2019"
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",GOA,2019,28,31,5.1,7.2,6.8,8,4810,52590,,2.8,0.01,0.42,78,3300,220,7000,2019,"Calendar Year (Jan - Dec), 2019"
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSAPANAJI,GOA,2019,27,31,2.6,9.3,6.2,7.5,87,11180,,5,0.01,0.75,2300,11000,3300,22000,2019,"Calendar Year (Jan - Dec), 2019"
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,2019,27,30,4.7,7.2,6.5,7.5,121,46370,,2.8,0.02,0.31,5,2300,8,4900,2019,"Calendar Year (Jan - Dec), 2019"
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",GOA,2019,27,37,5.1,8.3,6.4,8,23,47750,,2.3,0.01,0.16,170,2300,330,4900,2019,"Calendar Year (Jan - Dec), 2019"
1543,"RIVER KALNA AT CHANDEL PERNEM, GOA",GOA,2019,27,30,6.1,8,6.4,7.9,18,6725,,4,0.03,0.75,450,3300,780,4900,2019,"Calendar Year (Jan - Dec), 2019"
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",GOA,2019,27,30,4,8.2,6.1,8.1,27,48300,,2.9,0.04,0.23,490,4900,790,7900,2019,"Calendar Year (Jan - Dec), 2019"
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2019,27,31,5.7,11,6.2,7.5,14,2851,,2.9,0.11,0.91,2300,13000,4900,17000,2019,"Calendar Year (Jan - Dec), 2019"
2466,"AT VILLAGE NAMDHA, VAPI","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,28,33,3.4,6.2,7.3,7.9,237,47400,,2.9,0.1,1.6,240,1600,430,1600,2019,"Calendar Year (Jan - Dec), 2019"
2465,"AT NAROLI BRIDGE, SILVASSA","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,27.5,33,6,7.3,7.5,8.9,198,3584,,3,0.1,0.3,11,40,25,94,2019,"Calendar Year (Jan - Dec), 2019"
2463,"AT LAVACHA TEMPLE, SILVASSA","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,27.5,33,4.5,6.8,7.2,8.3,210,5843,,1.1,0.1,0.4,21,60,58,150,2019,"Calendar Year (Jan - Dec), 2019"
2462,"VAPI WEIR, VAPI, DAMAN","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,27.5,34,4.1,6.9,7.4,8.6,199,572,,2.2,0.1,0.5,34,220,110,540,2019,"Calendar Year (Jan - Dec), 2019"
2461,"AT DAMAN JETTY, MOTI DAMAN","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,28,33,5.1,6.7,7.4,8.4,2030,55740,,2.6,0.2,2.5,21,90,58,280,2019,"Calendar Year (Jan - Dec), 2019"
2459,"AT ZARI CAUSE WAY BRIDGE, DAMAN","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,28,34,3.6,6.1,6.7,7.9,228,47020,,3,0.4,2.5,900,1600,920,1600,2019,"Calendar Year (Jan - Dec), 2019"
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,28,33,4.2,7.2,7.3,7.9,136,2402,,1,0.1,0.4,2,9,10,170,2019,"Calendar Year (Jan - Dec), 2019"
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,2018,27,31.1,4.7,6.5,6.7,8,16210,55000,,4.2,,2.29,450,4900,780,7900,2018,"Calendar Year (Jan - Dec), 2018"
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,2018,27,31.5,5.1,6.5,6.7,7.9,20170,54680,,3.5,,13.13,200,4900,450,7900,2018,"Calendar Year (Jan - Dec), 2018"
1544,"RIVER VALVANT AT SANKLI BICHOLIM, GOA",GOA,2019,27,31,7.3,8.7,6.3,7.6,42,66,,2.1,,0.27,790,3500,2200,5400,2019,"Calendar Year (Jan - Dec), 2019"
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMIL NADU,2019,25,29,3,7.5,6.2,7.7,135,2540,,5.5,0.06,1.08,2,70,9,210,2019,"Calendar Year (Jan - Dec), 2019"
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMIL NADU,2019,23,24,6.4,8.2,5.8,7,28,471,,3.5,0.05,0.98,2,17,4,63,2019,"Calendar Year (Jan - Dec), 2019"
1328,"TAMBIRAPARANI AT PAPPANKULAM, TAMILNADU",TAMIL NADU,2019,25,26,5,7.9,5.7,6.8,29,481,,4.2,0.02,1.16,2,17,6,70,2019,"Calendar Year (Jan - Dec), 2019"
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMIL NADU,2019,24,29,5.9,7.9,6.3,7.4,90,274,,6.4,0.02,2.44,4,50,9,140,2019,"Calendar Year (Jan - Dec), 2019"
1161,"TAMBIRAPARANI AT TIRUNELVELI, COLLECTORATE, TAMILNADU.",TAMIL NADU,2019,25,29,4.3,7.4,6.1,7.1,51,1132,,5.5,0.06,1.64,4,63,8,170,2019,"Calendar Year (Jan - Dec), 2019"
1160,"TAMBIRAPARANI AT CHERANMADEVI, CAUSE WAY, TAMILNADU",TAMIL NADU,2019,25,27,6.6,7.6,5.8,6.8,36,692,,5.2,0.01,1.58,2,41,6,120,2019,"Calendar Year (Jan - Dec), 2019"
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM, TAMILNADU",TAMIL NADU,2019,22,34,6.2,8,6,7.1,26,307,,3.3,0.01,1.06,2,18,4,55,2019,"Calendar Year (Jan - Dec), 2019"
2444,CORINGA RIVER (TIDAL LOCK),PUDUCHERRY,2017,30,30,7.1,7.1,8.4,8.4,6960,6960,,,0.15,0.15,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2464,"D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN AND DIU, DADRA AND NAGAR HAVELI",2019,28,34,5.4,7.3,7.2,9.3,216,600,,,0.1,0.6,8,34,26,84,2019,"Calendar Year (Jan - Dec), 2019"
2445,MAHE RIVER,PUDUCHERRY,2019,29,29,6.3,6.3,7.4,7.4,2940,2940,,,0.24,0.24,,,,,2019,"Calendar Year (Jan - Dec), 2019"
2442,GAUTAMIGODAVARI RIVER NEAR BALAYOGI BRIDGE,PUDUCHERRY,2019,27,27,7,7,7.7,7.7,9110,9110,,,0.34,0.34,,,,,2019,"Calendar Year (Jan - Dec), 2019"
2444,CORINGA RIVER (TIDAL LOCK),PUDUCHERRY,2019,26.5,26.5,6.6,6.6,7.7,7.7,7190,7190,,,0.37,0.37,,,,,2019,"Calendar Year (Jan - Dec), 2019"
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,2018,26,34,4.4,7.9,6.6,7.9,116,46920,,3.8,,1.38,450,4900,780,7900,2018,"Calendar Year (Jan - Dec), 2018"
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,2018,26,33,4,7.8,6.5,7.7,115,53770,,5.8,,1.42,130,4900,330,7000,2018,"Calendar Year (Jan - Dec), 2018"
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,2019,27,33,5,6.4,6.1,8,7580,53160,,2.7,,1.22,45,2100,78,5400,2019,"Calendar Year (Jan - Dec), 2019"
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,2019,27,31,4,7.7,6.5,7.9,242,34780,,3.2,,1.31,130,2300,220,3500,2019,"Calendar Year (Jan - Dec), 2019"
2271,"RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO CANACONA NATIONAL HIGHWAY)",GOA,2019,27,30,5.1,7.3,6.3,7.7,68,276,,3.5,,1.11,490,4900,1100,7000,2019,"Calendar Year (Jan - Dec), 2019"
10012,RIVER MANDOVI AT PANAJI U/S,GOA,2019,27,31,4.7,7,6.6,7.9,210,45470,,1.1,,1.42,20,790,45,2400,2019,"Calendar Year (Jan - Dec), 2019"
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,2019,27,31,4.9,7.2,6.6,8.1,283,48800,,1.8,,1.41,23,1300,33,3500,2019,"Calendar Year (Jan - Dec), 2019"
1545,"RIVER MADAI AT DABOS VALPOI, GOA",GOA,2019,27,31,6.9,8.6,6.2,8.5,41,126,,2.7,,0.48,490,2300,1300,3300,2019,"Calendar Year (Jan - Dec), 2019"
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERWORKS, SANGUEM",GOA,2019,27,31,6.9,8.6,6.3,7.4,37,1013,,2.8,,0.17,78,2200,220,3300,2019,"Calendar Year (Jan - Dec), 2019"
1546,"RIVER KHANDEPAR AT OPA PONDA, GOA",GOA,2019,27,31,6.1,7.8,6.1,7.8,51,1132,,4.2,,0.13,68,1700,170,3300,2019,"Calendar Year (Jan - Dec), 2019"
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,2019,27,31,6.4,9.3,6.1,7.8,45,90,,2.1,,0.27,110,1300,220,2400,2019,"Calendar Year (Jan - Dec), 2019"
4410,CHAPOLI DAM,GOA,2019,27,30,7,8.3,6.7,7.4,56,460,,,,0.55,2,2400,5,5400,2019,"Calendar Year (Jan - Dec), 2019"
1544,"RIVER VALVANT AT SANKLI - BICHOLIM, GOA",GOA,2018,26,32.2,6.5,8.4,6.5,8,54,198,0.2,2.1,,0.28,1100,13000,1300,17000,2018,"Calendar Year (Jan - Dec), 2018"
1545,"RIVER MADAI AT DABOS - VALPOI, GOA",GOA,2018,25,32.2,5.8,8.1,6.4,7.7,55,227,0.4,2.2,,4,200,4900,450,7000,2018,"Calendar Year (Jan - Dec), 2018"
4409,SALMONA SPRING,GOA,2019,27,29,6.2,7.2,5.9,7.1,32,269,,,,1.27,,790,2,1100,2019,"Calendar Year (Jan - Dec), 2019"
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,2018,26,31,6.7,8.1,6.2,7.9,59,213,0.5,3.7,,0.04,20,2400,45,5400,2018,"Calendar Year (Jan - Dec), 2018"
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,2018,25.2,32,5.5,7.8,6.3,8.3,45,190,0.5,2.3,,0.49,130,24000,170,54000,2018,"Calendar Year (Jan - Dec), 2018"
1475,ZUARI AT PANCHAWADI,GOA,2018,26,33,4.9,7.6,6.4,8.1,87,23360,,4.6,,0.55,200,2300,450,4900,2018,"Calendar Year (Jan - Dec), 2018"
1546,"RIVER KHANDEPAR AT OPA - PONDA, GOA",GOA,2018,27,32,6.5,7.9,6.3,8.1,48,221,,2.4,,0.65,78,4900,230,7900,2018,"Calendar Year (Jan - Dec), 2018"
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,2018,26,31.7,6.9,8.2,6.5,8,53,117,2.6,3,,0.92,80,350,550,1800,2018,"Calendar Year (Jan - Dec), 2018"
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,2018,25,29,6,8,6.5,8.1,47,97,2.4,2.9,,0.45,170,900,550,1800,2018,"Calendar Year (Jan - Dec), 2018"
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,2019,25,31,6,7.5,6.7,8.5,79,271,3,4,,0.9,2,170,2,1600,2019,"Calendar Year (Jan - Dec), 2019"
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,2019,25,30,5.8,7.6,6.5,8.5,121,212,3,8,,1,2,280,2,920,2019,"Calendar Year (Jan - Dec), 2019"
4390,"PAPAVINASANAM RESERVOIR, TIRUMALA",ANDHRA PRADESH,2019,24,30,6.4,7.2,7.1,8,50,100,0.4,1.2,0.09,0.42,,2,2,300,2019,"Calendar Year (Jan - Dec), 2019"
1026,"GHAGGAR GH-2 AT CHANDARPUR SYPHON, HARYANA",HARYANA,2018,,,3.2,4.9,7.5,8.6,685,1490,20,36,,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
2574,SURAJ KUND AT GAYA,BIHAR,2012,16,30,5.1,8.8,7.1,8.6,319,910,2,2.9,,,1100,9000,2400,24000,2012,"Calendar Year (Jan - Dec), 2012"
3206,MAHI AT SHERKHI BRIDGE,GUJARAT,2013,,,4.2,4.2,8.7,8.7,,,0.3,0.3,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2442,GAUTAMI-GODAVARI,PUDUCHERRY,2016,26,26,6.3,6.3,8,8,,0,0,0.1,0.1,,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2851,"POND AT KONGBA BAZAR, IMPHAL EAST",MANIPUR,2012,28,31,0,10.2,6.8,8.2,301,475,6.4,26.8,,,,,15,65,2012,"Calendar Year (Jan - Dec), 2012"
2850,"NINGTHEM PUKHURI, IMPHAL EAST",MANIPUR,2012,24,31,8.3,10.1,7.2,7.8,182,335,2.8,8,,,,,30,50,2012,"Calendar Year (Jan - Dec), 2012"
2849,"CHANAM PUKHURI, IMPHAL WEST",MANIPUR,2012,27,30,5.3,10.1,7,8.2,297,500,1.8,15.4,,,,,15,40,2012,"Calendar Year (Jan - Dec), 2012"
2848,"POND AT KAKWA BAZAR, IMPHAL WEST",MANIPUR,2012,27,30,0.6,9.1,6.7,8.1,305,522,7,12,,,,,45,110,2012,"Calendar Year (Jan - Dec), 2012"
2847,"POND AT MAIBAM LOKPACHING, IMPHAL WEST",MANIPUR,2012,28,30,6.5,10.6,6.8,8.6,74,157,0.7,2.6,,,,,10,55,2012,"Calendar Year (Jan - Dec), 2012"
2846,"POND AT MOIDANGPOK, IMPHAL WEST",MANIPUR,2012,29,30,8.2,10.3,7.4,8.2,66,125,0.4,4.4,,,,,15,50,2012,"Calendar Year (Jan - Dec), 2012"
2845,"POND AT NGAIRANGBAM, IMPHAL WEST",MANIPUR,2012,29,30,8,10.7,7.4,7.9,65,125,0.2,3.4,,,,,15,30,2012,"Calendar Year (Jan - Dec), 2012"
2844,LILONG PUKHURI AT IMPHAL WEST,MANIPUR,2012,29,30,4.5,12.8,6.9,8.7,280,504,2.6,12.8,,,,,15,90,2012,"Calendar Year (Jan - Dec), 2012"
2841,HIRANMEI PUKHURI AT THOUBAL,MANIPUR,2012,28,33,3.8,11.4,7,7.9,174,271,2.2,5.7,,,,,10,45,2012,"Calendar Year (Jan - Dec), 2012"
2840,"LAMJAO PUKHURI AT ACHOUBA, THOUBAL",MANIPUR,2012,27,33,7.9,11,7,8,114,238,0.2,4.2,,,,,10,55,2012,"Calendar Year (Jan - Dec), 2012"
2839,"PUKHRI AT LANGMEIDONG, DISTT. THOUBAL",MANIPUR,2012,28,33,7.9,10.1,6.8,7.9,115,262,1.7,9.9,,,,,5,35,2012,"Calendar Year (Jan - Dec), 2012"
2837,"PUMLEN LAKE AT TOKPACHING,THOUBAL",MANIPUR,2012,27,30,4.6,9.1,6.7,7.8,99,327,1.5,4.8,,,,,20,50,2012,"Calendar Year (Jan - Dec), 2012"
1630,"KARANG,ISLAND (LOKTAK LAKE)",MANIPUR,2012,28,31,6.1,9.7,6.8,7.7,77,193,0.5,4.9,,,,,25,45,2012,"Calendar Year (Jan - Dec), 2012"
1629,SENDRA (LOKTAK LAKE),MANIPUR,2012,28,30,9.1,10.1,6.8,8,67,135,1.4,4.3,,,,,5,55,2012,"Calendar Year (Jan - Dec), 2012"
1426,LOKTAK LAKE AT BISHNUPUR,MANIPUR,2012,27,30,7.3,10.1,7,7.3,75,172,1,8.7,,,,,15,85,2012,"Calendar Year (Jan - Dec), 2012"
1425,LOKTAK LAKE AT THANA,MANIPUR,2012,28,30,6.1,9.1,7.2,7.8,33,174,0.1,4.7,,,,,25,60,2012,"Calendar Year (Jan - Dec), 2012"
1532,"GOYSAGAR TANK, SIBSAGAR",ASSAM,2012,18,28,5.3,7.2,6.3,7,20,20,2,2.8,0.1,0.19,0,0,700,1400,2012,"Calendar Year (Jan - Dec), 2012"
2228,GALA BEEL AT DERGAON,ASSAM,2012,24,36,4,7,6.6,7.2,56,214,1.6,3.8,0.1,0.28,0,0,730,910,2012,"Calendar Year (Jan - Dec), 2012"
2227,"HORDAI PUKHURI, CHARAIDEW",ASSAM,2012,19,28,5.2,7.5,6.2,7,20,35,1.8,3.2,0.1,0.15,0,0,360,730,2012,"Calendar Year (Jan - Dec), 2012"
2226,SIVASAGAR TANK (BORPUKHURI) NR SIVADOL,ASSAM,2012,19,29,4.8,6.6,6.1,7.1,20,23,2.1,3.6,0.1,0.15,0,300,300,2100,2012,"Calendar Year (Jan - Dec), 2012"
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI",ASSAM,2012,8,17,6.1,7.3,6.9,7.6,81,254,1.2,5,0.11,0.69,0,910,0,2100,2012,"Calendar Year (Jan - Dec), 2012"
2224,RAJAPUKHURI AT GAURIPUR,ASSAM,2012,21,31,5.2,6.8,7,8,69,79,5.7,13.6,0.12,0.19,0,0,300,1100,2012,"Calendar Year (Jan - Dec), 2012"
2223,MAHAMAYA MANDIR PUKHURI,ASSAM,2012,20,30,4.8,6.8,7,7.5,64,131,3.2,6.1,0.1,0.58,0,360,360,910,2012,"Calendar Year (Jan - Dec), 2012"
2222,RAJADINIA PUKHURI AT ABHAYAPURI,ASSAM,2012,19,30,5.4,6.8,6.9,8.2,20,120,1.4,11.8,0,0.17,0,360,360,930,2012,"Calendar Year (Jan - Dec), 2012"
2221,"GANGA PUKHURI, NALBARI",ASSAM,2012,22,32,4.9,8,6.7,7.3,37,62,2.1,7.4,0.1,0.28,0,360,360,1500,2012,"Calendar Year (Jan - Dec), 2012"
2220,"CHAND DUBI BEEL, CHAND DUBI",ASSAM,2012,20,32,6.7,7.9,6.2,7.5,23,47,1.2,4.2,0.1,0.15,0,0,300,2100,2012,"Calendar Year (Jan - Dec), 2012"
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO",ASSAM,2012,22,30,5.3,8.5,7.2,8.5,101,311,0.5,10.2,0.1,0.27,0,360,300,1500,2012,"Calendar Year (Jan - Dec), 2012"
2218,"DEEPAR BEEL AT BORAGAON NR IASST, GUWAHATI",ASSAM,2012,23,30,1,7.3,6.7,7.4,181,439,3.2,7.6,0.1,0.27,0,360,730,2800,2012,"Calendar Year (Jan - Dec), 2012"
2217,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI",ASSAM,2012,5,25,3.8,26,6.7,7.2,325,492,4,8.8,0.11,1.4,360,2100,1100,2800,2012,"Calendar Year (Jan - Dec), 2012"
2216,"DIGHALI PUKHURI, GUWAHATI",ASSAM,2012,20,31,5.4,14.4,6.7,9,136,245,7.6,14.4,0.13,1.71,0,720,0,1500,2012,"Calendar Year (Jan - Dec), 2012"
2215,SARAN BEEL,ASSAM,2012,22,36,4.9,7.9,6.4,7.9,67,256,1.6,4.3,0.12,0.2,0,300,360,1500,2012,"Calendar Year (Jan - Dec), 2012"
2214,"BOTODRIVA SATRA POND, NAGAON",ASSAM,2012,22,30,6.9,7.8,6.4,7.2,20,33,3,3.8,0.1,0.21,0,0,360,910,2012,"Calendar Year (Jan - Dec), 2012"
2213,"JAIPAL PUKHURI, SIPAJHAR",ASSAM,2012,17,29,7.8,8.6,6.3,7.4,20,27,4,8,0.1,0.21,0,0,300,1500,2012,"Calendar Year (Jan - Dec), 2012"
2212,"GOPHUR TANK, GOPHUR",ASSAM,2012,20,26,8,8.6,6.7,7.2,94,146,2.2,9,0.14,1.5,0,0,300,1100,2012,"Calendar Year (Jan - Dec), 2012"
2211,"PADUMPUKHURI, TEZPUR",ASSAM,2012,18,27,8.9,10,7.2,8.5,215,332,2.6,14.6,0.21,0.8,0,300,0,730,2012,"Calendar Year (Jan - Dec), 2012"
2210,"RAJMAW PUKHURI, JORHAT",ASSAM,2012,18,29,4.7,7.6,6.7,7.4,68,88,1.2,6.8,0.1,0.1,0,300,700,1100,2012,"Calendar Year (Jan - Dec), 2012"
2209,"GAURISAGAR TANK, GAURISAGAR",ASSAM,2012,19,27,5.6,7.4,6.3,7.2,20,21,1.8,4.8,0.1,0.18,0,0,360,910,2012,"Calendar Year (Jan - Dec), 2012"
2208,"BORPUKHURI, NAZIRA",ASSAM,2012,18,28,5.5,6.7,6.7,7.4,22,40,1.2,5.6,0.1,0.29,0,0,300,1100,2012,"Calendar Year (Jan - Dec), 2012"
2207,BOR BEEL AT JAKAI.,ASSAM,2012,17,28,5.5,7.7,6.4,6.6,84,125,3.5,4.8,0.1,0.45,0,360,360,910,2012,"Calendar Year (Jan - Dec), 2012"
1263,ELANGABEEL SYSTEM POND (R. KOLANG),ASSAM,2012,28,38,0,5.2,8.5,12,1016,4510,14.6,25,0.11,1.65,0,0,0,910,2012,"Calendar Year (Jan - Dec), 2012"
2206,DALONI BEEL NEAR JOGIGHOPA,ASSAM,2012,19,29,5.8,6.4,6.5,8.2,71,295,3.6,6.8,0.14,0.5,0,360,300,2100,2012,"Calendar Year (Jan - Dec), 2012"
