station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
3409,"GUMTI RIVER AT SUBHAS SETU, DHAJANAGAR, D/S UDAIPUR CITY, SOUTH TRIPURA",TRIPURA,2017,25,27,7.9,9.2,8.1,8.9,72,185,0.7,2,0.15,0.52,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3410,"FENI RIVER AT SABROOM (INTERSTATE BOUNDARY), SOUTH TRIPURA",TRIPURA,2017,25,27,6.1,7.2,6.3,7.5,95,181,0.4,1.8,0.57,1.57,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3411,"FENI RIVER AT CHOTOKHIL BATTALA, SOUTH TRIPURA",TRIPURA,2017,25,27,5.3,7,6.5,7.9,81,187,0.3,1.6,0.29,1.16,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3412,"MUHARI RIVER AT BANKAR (INTERSTATE BOUNDRY), BELONIA, SOUTH TRIPURA",TRIPURA,2017,25,27,5.9,7.4,7.6,8.7,89,183,0.5,1.4,0.2,0.78,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3413,"MUHARI RIVER AT MUHARICHAR, SOUTH TRIPURA",TRIPURA,2017,25,27,6.5,8,5.6,7.3,82,157,0.4,1.6,0.11,0.66,140,220,220,350,2017,"Calendar Year (Jan - Dec), 2017"
3414,"DHALAI RIVER AT CHANDRAIPARA, D/S OF AMBASSA TOWN, DHALAI",TRIPURA,2017,24.5,27,3.6,5.4,6.4,7.4,84,174,0.2,1.4,0.12,0.64,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3415,"DHALAI RIVER AT KAMALPUR D/S, DHALAI",TRIPURA,2017,24.5,27,5.3,6.8,6.4,7.3,82,177,0.4,1.4,0.13,0.8,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3416,"DHALAI RIVER AT MANIK BHANDHER, DHALAI",TRIPURA,2017,24.5,27,5.9,7.6,6.8,7.9,83,179,0.4,1.9,0.11,0.6,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3420,"LONGAI RIVER AT DAMCHERRA (INTERSTATE BOUNDRY), NORTH TRIPURA",TRIPURA,2017,25,27,6.1,7.3,6.8,7.9,88,187,0.6,2.1,0.16,0.6,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3421,"JURI RIVER AT KRISHNAPUR, D/S OF DHARMANAGAR, NORTH TRIPURA",TRIPURA,2017,25,27,8.5,10.1,6.6,7.8,62,167,1.1,2.9,0.34,1.43,170,210,280,350,2017,"Calendar Year (Jan - Dec), 2017"
3422,"DEO RIVER AT PECHARTHAL D/S, NORTH TRIPURA",TRIPURA,2017,25,27,3.8,5,6.3,7.7,73,189,0.1,1.1,0.15,0.83,170,220,280,350,2017,"Calendar Year (Jan - Dec), 2017"
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERWORKS, SANGUEM",GOA,2017,28,34,6.7,7.7,6.1,7.4,41,108,0.1,2,0.02,0.26,330,2400,460,5400,2017,"Calendar Year (Jan - Dec), 2017"
2271,"RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,2017,28,32,4.9,7,5.9,7.3,80,231,0.5,3.9,0.08,1.35,780,17000,1300,24000,2017,"Calendar Year (Jan - Dec), 2017"
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",GOA,2017,25,34,7,7.8,6,7.3,50,478,0.6,2.3,0.01,0.22,230,7900,490,17000,2017,"Calendar Year (Jan - Dec), 2017"
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",GOA,2017,24.2,34,2.8,9.6,7.1,8.3,37020,65120,0.9,5.1,0.01,8.93,790,4900,1100,9400,2017,"Calendar Year (Jan - Dec), 2017"
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,2017,26,31,2.7,8.1,6.2,7.8,159,16380,0.9,2.8,0.05,0.44,2200,220000,2700,92000,2017,"Calendar Year (Jan - Dec), 2017"
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",GOA,2017,26.3,30.5,6,7.8,6.3,7.6,5,4770,0.4,3.5,0.03,0.27,450,7900,780,13000,2017,"Calendar Year (Jan - Dec), 2017"
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2017,26.1,33,5.6,12,5.6,7.5,76,2432,0.6,4.8,0.38,3.72,4900,24000,7900,35000,2017,"Calendar Year (Jan - Dec), 2017"
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,2017,26.7,33,4.6,7.8,7.3,8.2,4669,75840,1.1,4.2,0.08,0.67,130,1300,170,1700,2017,"Calendar Year (Jan - Dec), 2017"
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2017,24.3,32,0.7,7.6,6,8,125,778,0.5,16.8,0.1,3.06,11000,54000,17000,92000,2017,"Calendar Year (Jan - Dec), 2017"
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,2017,26.2,35,3.9,9.9,6.1,8.8,38,43800,1.3,8.4,0.11,43.76,130,1700,170,3300,2017,"Calendar Year (Jan - Dec), 2017"
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,2017,28,32,3.9,7,7.6,8.4,9666,79480,1.2,3.6,0.04,0.88,230,13000,310,22000,2017,"Calendar Year (Jan - Dec), 2017"
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,2017,28,33,3.9,7.7,7.5,8,7915,83240,1.5,3.6,0.1,1.44,130,7900,170,11000,2017,"Calendar Year (Jan - Dec), 2017"
1148,AMBIKA AT BILIMORA,GUJARAT,2017,24,33,5.5,6.8,7.4,8.3,326,67670,1.4,2.5,0.05,0.09,2,58,2,177,2017,"Calendar Year (Jan - Dec), 2017"
1149,KOLAK AT PATALIA BDG.,GUJARAT,2017,23,30,4.8,6.4,7.1,7.9,298,10880,1.9,3.1,0.04,0.67,17,130,94,1600,2017,"Calendar Year (Jan - Dec), 2017"
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,",GUJARAT,2017,23,30,6.8,7.5,7.7,8,222,344,0.3,1.3,0.05,0.56,2,34,2,210,2017,"Calendar Year (Jan - Dec), 2017"
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),",GUJARAT,2017,23,30,5.6,6.5,7.3,8,352,50320,1.6,3.4,0.16,0.89,2,130,2,540,2017,"Calendar Year (Jan - Dec), 2017"
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT,2017,28,32,0.9,5.2,7.1,8.2,778,2280,4,34,0.11,0.88,110,1400,700,17000,2017,"Calendar Year (Jan - Dec), 2017"
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI, VALSAD,",GUJARAT,2017,23,30,6.5,7.2,7.4,8,78,53810,0.9,2.6,0.11,0.34,2,41,13,140,2017,"Calendar Year (Jan - Dec), 2017"
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,",GUJARAT,2017,27,31,2.9,3.1,7.3,8.2,1090,6110,3.2,148,0.2,0.4,11,22,110,240,2017,"Calendar Year (Jan - Dec), 2017"
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,",GUJARAT,2017,27,33,3.6,6,5.9,8,704,3495,1.2,3.1,0.04,0.13,94,542,276,542,2017,"Calendar Year (Jan - Dec), 2017"
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,2017,27,34,4.7,6.4,7.1,8.2,433,1738,1.2,3,0.02,3.92,84,542,212,542,2017,"Calendar Year (Jan - Dec), 2017"
1861,PURNA RIVER ON BRIDGE AT SURAT- NAVSARI HIGHWAY,GUJARAT,2017,24,33,5.2,6.8,7.2,8.1,358,7633,1.1,2.5,0.01,0.52,48,542,175,542,2017,"Calendar Year (Jan - Dec), 2017"
1862,KAVERI RIVER ON BRIDGE AT BILLIMORA- VALSAD ROAD,GUJARAT,2017,24,33,5.2,6.5,7.4,8.2,398,64670,1.5,2,0.04,0.1,2,542,2,542,2017,"Calendar Year (Jan - Dec), 2017"
1865,DHADAR RIVER AT KOTHADA,GUJARAT,2017,24,30,1.5,4.4,7.1,8.3,538,3360,1.2,16,0.28,1.05,12,46,3,210,2017,"Calendar Year (Jan - Dec), 2017"
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2017,28,35,3.2,5.3,7.2,8.4,740,2600,0.2,31,0.17,0.82,49,130,170,700,2017,"Calendar Year (Jan - Dec), 2017"
2072,BHOGAVO RIVER D/S OF SURENDRANAGAR.,GUJARAT,2017,23,29,2.4,6,7.2,7.7,560,2280,1.9,67,0.21,1.46,11,22,50,110,2017,"Calendar Year (Jan - Dec), 2017"
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,2017,22,25,5,6.7,7.2,8.4,992,28800,1.1,8,0.02,0.24,4,8,14,22,2017,"Calendar Year (Jan - Dec), 2017"
3204,"VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,2017,25,34,0.4,6.9,6.5,8.1,495,2140,2.5,21,0.02,0.86,40,400,240,2400,2017,"Calendar Year (Jan - Dec), 2017"
3205,"VISHWAMITRI UPSTREAM AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",GUJARAT,2017,23,30,4.1,7.9,7.5,8.3,300,646,0.3,1.3,0.09,1.08,2,12,11,47,2017,"Calendar Year (Jan - Dec), 2017"
1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA, DEBWALI ROAD",HARYANA,2017,,,2.6,4.2,6.7,8.5,564,2640,16,40,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
1026,GHAGGAR GH-2 AT CHANDARPUR SYPHEN,HARYANA,2017,,,2.7,4.2,6.7,8.7,561,2910,20,40.2,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
1884,GHAGGAR AT KALA AMB D/S MARKANDA,HARYANA,2017,,,2.3,6.8,4.9,7.9,327,3160,16,290,,,7000,25300,27800,54200,2017,"Calendar Year (Jan - Dec), 2017"
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER),HARYANA,2017,,,2.4,4.1,6.4,8.2,540,3140,20,48,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
1871,"MARKANDA RIVER AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,2017,13,21,7.2,7.9,7.5,8.3,528,764,0.2,0.4,0.29,1.17,8,21,24,39,2017,"Calendar Year (Jan - Dec), 2017"
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,2017,15,25,6.9,8,7.4,8.1,496,716,0.1,0.3,0.22,0.91,11,17,21,32,2017,"Calendar Year (Jan - Dec), 2017"
