station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
2942,"LAKEJAISAMAND,SALUMBER,UDAIPUR,POINTNO.2",LAKE,2016,RAJASTHAN,18,28,7,9.2,7.3,8.9,490,690,0.7,1.7,0.4,1.8,4,14,11,75,2016,"Calendar Year (Jan - Dec), 2016"
2943,"LODHATALAB,BANSWARA-DUNGARPURROAD,BANSWARA",LAKE,2016,RAJASTHAN,21,34,3.6,5.9,7.3,8.8,360,1210,1.2,4.6,0.5,1.6,4,11,7,210,2016,"Calendar Year (Jan - Dec), 2016"
2944,"JALMAHAL,JAIPUR",LAKE,2016,RAJASTHAN,18,32,1.6,4,7.9,9.9,2500,5000,6.3,10.9,3.4,6.6,11,93,75,1100,2016,"Calendar Year (Jan - Dec), 2016"
1420,KODAIKANAL,LAKE,2016,TAMILNADU,17,20,5,7.2,6.5,7.6,84,118,2.2,8.4,0,0.6,11,27,17,47,2016,"Calendar Year (Jan - Dec), 2016"
1421,OOTYLAKE,LAKE,2016,TAMILNADU,16,20,2.8,7.8,6.9,8.6,390,680,4.5,26.4,0,0.8,1100,17000,1700,28000,2016,"Calendar Year (Jan - Dec), 2016"
1452,YERAUDLAKE,LAKE,2016,TAMILNADU,19,29,5.3,8.3,7.1,8.3,300,380,1.1,6.3,0,1,310,2300,630,4600,2016,"Calendar Year (Jan - Dec), 2016"
3007,VEERANAMLAKEATCUDDALORE,LAKE,2016,TAMILNADU,28,30,5,8,8.2,9.2,550,749,1.3,10.2,0,0.4,260,490,390,940,2016,"Calendar Year (Jan - Dec), 2016"
3008,POONDIRESERVOIR,LAKE,2016,TAMILNADU,36,36,4.5,7.6,6.4,8.5,398,1025,2,6,0,0,490,4900,1100,7900,2016,"Calendar Year (Jan - Dec), 2016"
3009,REDHILLSLAKE,LAKE,2016,TAMILNADU,27,31,4.6,7.8,5.6,8.9,289,598,2,7,0,0,78,2400,490,5400,2016,"Calendar Year (Jan - Dec), 2016"
3010,PORURLAKE,LAKE,2016,TAMILNADU,29,36,3,7.8,6.8,9.5,307,1007,2,5.6,0,0,170,3500,270,9200,2016,"Calendar Year (Jan - Dec), 2016"
3011,PULICATELAKE,LAKE,2016,TAMILNADU,29,35,4.5,7.8,6.1,8.4,28400,57100,2,8,0,0,330,1300,680,3500,2016,"Calendar Year (Jan - Dec), 2016"
1391,"HUSSAINSAGARLAKE,BUDAMERU",LAKE,2016,TELANGANA,24,30,1.8,4.2,7.2,8.1,1018,1676,10,22,0,19,28,130,258,320,2016,"Calendar Year (Jan - Dec), 2016"
1788,"SAROONAGAR,RANGAREDDYDIST",LAKE,2016,TELANGANA,24,30,0.8,1.6,7.2,8.1,1095,1665,4,28,0,6.7,33,90,250,420,2016,"Calendar Year (Jan - Dec), 2016"
1789,"HIMAYATSAGARLAKE,R.R.DIST",LAKE,2016,TELANGANA,25,29,2.4,5.9,7.2,8.3,387,522,2,19,0,4,15,45,120,415,2016,"Calendar Year (Jan - Dec), 2016"
2340,"LAXMINARAYANACHEVURUATEDULABAD,RANGAREDDY",LAKE,2016,TELANGANA,24,28,1.4,4.6,7,8.6,873,1581,5,18,0,8,39,80,240,560,2016,"Calendar Year (Jan - Dec), 2016"
2341,"MIRALAMLAKENEARZOOPARK,RANGAREDDY",LAKE,2016,TELANGANA,25,29,0.5,1.8,6.9,8.5,1278,1743,9,35,0,13.7,30,110,335,430,2016,"Calendar Year (Jan - Dec), 2016"
2342,"NOORMD.KUNTA,KATTEDAN,RANGAREDDY",LAKE,2016,TELANGANA,25,29,0.2,1,7.1,8.2,1486,2570,14,50,0,3,35,70,170,600,2016,"Calendar Year (Jan - Dec), 2016"
3068,"RAMAPPALAKE,WARANGAL",LAKE,2016,TELANGANA,18,28,5.9,6.8,6.5,8.5,213,380,2,4,0,2.1,25,70,235,670,2016,"Calendar Year (Jan - Dec), 2016"
1790,"PULICATELAKE,NELLOREDISTRICT",LAKE,2016,ANDHRAPRADESH,27,29,4.4,6.1,6.9,8.1,10760,56000,0.5,2.8,0.2,2.6,2,2,1100,2600,2016,"Calendar Year (Jan - Dec), 2016"
3070,"FOXSAGAR,JEEDIMETLA,RANGAREDDY",LAKE,2016,TELANGANA,25,29,0,3.9,7.2,8.3,610,6190,10,64,0,9.6,29,105,232,510,2016,"Calendar Year (Jan - Dec), 2016"
3071,"LANGARHOUSELAKE,HYDERABAD",LAKE,2016,TELANGANA,25,32,0.4,2.4,7.3,8.1,933,1516,8,23,0,1.5,33,130,252,610,2016,"Calendar Year (Jan - Dec), 2016"
3072,"SAFILGUDALAKE,RANGAREDDY",LAKE,2016,TELANGANA,24,32,0.6,2.6,6.7,8.2,1133,1664,10,30,0,12.8,36,55,248,1210,2016,"Calendar Year (Jan - Dec), 2016"
