station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
3586,LIMBHABUDILAKE,LAKE,2019,KARNATAKA,20,31,,6.2,6.7,8.6,552,1579,3.8,52,1.5,9.6,1100,9300,5800,47000,2019,"Calendar Year (Jan - Dec), 2019"
3584,DALAVAILAKE,LAKE,2019,KARNATAKA,20,30,,3.8,7.4,9,746,1164,10.4,23.8,2.8,8.3,1100,8200,7000,21000,2019,"Calendar Year (Jan - Dec), 2019"
1971,THOLTANK(KALOL)(DIST.MEHASANA),TANK,2019,GUJARAT,25,29,,8.7,7.3,8.6,367,1992,2.2,81,0,0.13,4,84,6,150,2019,"Calendar Year (Jan - Dec), 2019"
4249,"RANGASAMUDRAM,WARANGAL",TANK,2019,TELANGANA,26,30,,1.6,7.2,7.8,1015,1893,12,28,2,6,20,350,230,540,2019,"Calendar Year (Jan - Dec), 2019"
3077,"KAPRACHERUVU,KAPRA,RANGAREDDY",POND,2019,TELANGANA,22,30,,2.2,7,7.8,1401,1812,12,26,5.6,10,16,217,280,540,2019,"Calendar Year (Jan - Dec), 2019"
2359,PEDDACHERUVU,POND,2019,TELANGANA,25,30,,3.2,7.2,8.3,376,1672,18,40,0.4,21.5,14,86,320,540,2019,"Calendar Year (Jan - Dec), 2019"
2341,"MIRALAMLAKENEARZOOPARK,RANGAREDDY",LAKE,2019,TELANGANA,25,30,,2.4,6.9,7.6,1503,1759,10,26,3.02,11,22,36,320,430,2019,"Calendar Year (Jan - Dec), 2019"
3644,MULBHAGALLAKE,LAKE,2019,KARNATAKA,22,34,,3.8,7.1,9.3,2200,4930,13,54,1.1,16,940,35000,5400,160000,2019,"Calendar Year (Jan - Dec), 2019"
4228,"IBRAHIMCHERUVU,RAJENDRANAGAR",TANK,2019,TELANGANA,28,28,0,,7.2,7.6,1669,1858,28,34,15.1,17.2,46,80,350,390,2019,"Calendar Year (Jan - Dec), 2019"
1971,THOLTANK(KALOL)(DIST.MEHASANA),TANK,2018,GUJARAT,27,30,,9.8,,8.2,341,2154,5,166,0,0.6,4,45,17,350,2018,"Calendar Year (Jan - Dec), 2018"
3178,RAIALAKE,LAKE,2019,GOA,27,30,4.6,9.5,6.3,7.8,60,329,,12,0,7.8,20,4900,40,7900,2019,"Calendar Year (Jan - Dec), 2019"
3177,CARAMBOLIMLAKE,LAKE,2019,GOA,26,30,5.7,8.2,6.2,8.4,29,12045,,3,0.05,2.15,78,1700,130,5400,2019,"Calendar Year (Jan - Dec), 2019"
2912,"RANJITSAGARRESERVOIR,PUNJAB",LAKE,2019,PUNJAB,10,28,7.2,8.9,7.2,7.9,152,226,,1,0.1,0.1,26,43,63,84,2019,"Calendar Year (Jan - Dec), 2019"
1686,BAHOURLAKE,LAKE,2019,PUDUCHERRY,26,32,1.1,7.5,7.5,7.6,331,591,,4.7,0.03,0.06,220,430,300,540,2019,"Calendar Year (Jan - Dec), 2019"
4503,MADHURETANK,TANK,2019,KARNATAKA,25,29,1.8,7.4,6,8.2,170,432,,20,0.74,5,84,94000,920,920000,2019,"Calendar Year (Jan - Dec), 2019"
3032,"SULTANPURLAKE,DELHI",LAKE,2018,DELHI,,,3.9,3.9,,,417,417,,,1.4,1.4,2400,2400,3500,3500,2018,"Calendar Year (Jan - Dec), 2018"
3645,DEVARAYASAMUDRALAKE,LAKE,2019,KARNATAKA,22,35,,1.8,6.6,10.3,428,1220,36,144,,8,460,400000,5400,3500000,2019,"Calendar Year (Jan - Dec), 2019"
3180,CURTORIMLAKE,LAKE,2019,GOA,27,36,4.1,10.6,6.1,7.5,59,448,,4.3,,4.89,200,4900,450,13000,2019,"Calendar Year (Jan - Dec), 2019"
3176,RUMDERLAKE,LAKE,2019,GOA,26,30,2.2,6.1,6.4,7.7,52,2386,,6,,0.36,490,4900,790,7900,2019,"Calendar Year (Jan - Dec), 2019"
2269,"MAYEMLAKE,BICHOLIM",LAKE,2019,GOA,27,31,6,8.2,5.6,8,13,24578,,2.7,,0.14,780,4900,1300,9400,2019,"Calendar Year (Jan - Dec), 2019"
2912,"RANJITSAGARRESERVOIR,PUNJAB",LAKE,2018,PUNJAB,11,29,7.8,8.3,7.2,7.9,148,222,0,,,0.7,33,79,70,140,2018,"Calendar Year (Jan - Dec), 2018"
1396,"OSTERILAKE,PONDICHERRY",LAKE,2018,PUDUCHERRY,29,35,8,66,8.3,9.1,293,575,0,3,,0.1,22,22,50,350,2018,"Calendar Year (Jan - Dec), 2018"
2539,BELBONILAKENEARBARJORA,LAKE,2018,WESTBENGAL,19,33,5.4,8.4,7,8,178,244,1.5,2.8,,0.2,1100,9000,1400,14000,2018,"Calendar Year (Jan - Dec), 2018"
2544,SAHEBBANDHATPURULIA,LAKE,2018,WESTBENGAL,17.5,32,4.1,9.7,7,8.1,438,550,2.5,3.8,,1.1,3000,11000,5000,17000,2018,"Calendar Year (Jan - Dec), 2018"
2269,"MAYEMLAKE,BICHOLIM",LAKE,2018,GOA,27,32,5.7,9.8,6.1,8.2,29,262,0,4.8,,0.7,450,17000,780,28000,2018,"Calendar Year (Jan - Dec), 2018"
3175,ANJUNEMLAKE,LAKE,2019,GOA,27,31,6.3,9,6.4,7.8,36,177,,2.1,0,0.49,2,110,,170,2019,"Calendar Year (Jan - Dec), 2019"
1549,"SALAULIMLAKEATSALAULIM-SANGUEM,GOA",LAKE,2019,GOA,27,35,5.4,8.1,6.4,8,36,37320,,0.8,,0.53,,130,,240,2019,"Calendar Year (Jan - Dec), 2019"
3176,RUMDERLAKE,LAKE,2018,GOA,24.6,32,1.9,10.5,6.6,8.5,84,331,0.3,9.7,,15.9,200,13000,450,24000,2018,"Calendar Year (Jan - Dec), 2018"
3691,VIMANABHUTHIKERETANK,TANK,2019,KARNATAKA,26,31,6.5,7.3,6.9,7.8,12,226,2.1,3.5,,0.36,170,500,500,900,2019,"Calendar Year (Jan - Dec), 2019"
4823,"OVERHEADTANKATTIRURVILLAGE,TIRUVALLURTALUK,TIRUVALLURPANCHAYATUN",TANK,2019,TAMILNADU,,,2.7,7,6.9,7.6,945,1053,2,5,0.18,0.65,,78,,330,2019,"Calendar Year (Jan - Dec), 2019"
3010,"PORURLAKEATTHIRUVALLUR,TAMILNADU",LAKE,2019,TAMILNADU,30,31,3,8,6.9,9.6,751,1950,2,16,0,2.8,,390,,2800,2019,"Calendar Year (Jan - Dec), 2019"
3954,TAMPADALAKEATCHHATRAPUR,LAKE,2019,ODISHA,14,28,3.5,10,6.7,8.4,364,1385,1.8,6.6,0.12,1.31,,3500,,5400,2019,"Calendar Year (Jan - Dec), 2019"
2128,KHANDARIRESERVOIRWATEROFFTAKEPOINT,LAKE,2018,MADHYAPRADESH,17.5,35,6.8,8.4,7.4,8.3,146,415,0.7,1.8,0.3,4.7,2,10,,130,2018,"Calendar Year (Jan - Dec), 2018"
2129,PERIATTANKJABALPUR,LAKE,2018,MADHYAPRADESH,18,30,6.7,7.8,7.3,8.3,249,410,1.2,1.9,0.3,3.9,2,15,,240,2018,"Calendar Year (Jan - Dec), 2018"
3300,"RANITALTALAB,JABALPUR",POND,2018,MADHYAPRADESH,17,23,3.5,6.9,7.4,8.5,400,1428,1.8,20,0.3,6.1,2,1600,,1600,2018,"Calendar Year (Jan - Dec), 2018"
3301,MOTITALABATBALAGHAT,POND,2018,MADHYAPRADESH,17,35,5.5,7.4,7.1,8.3,357,826,1.7,3.9,0.3,4.3,2,130,,540,2018,"Calendar Year (Jan - Dec), 2018"
3831,"DALSAGARTALAB,DISTSEONI",POND,2018,MADHYAPRADESH,18,35,6.2,9.5,7.3,8.2,350,612,1.8,4.8,0.3,8.2,2,70,,460,2018,"Calendar Year (Jan - Dec), 2018"
4700,"LARGETANK,SAROORNAGAR(V)",TANK,2019,TELANGANA,27,30,0,1,7.1,7.6,1468,1603,24,28,7,12,2,26,,350,2019,"Calendar Year (Jan - Dec), 2019"
4245,MALLEPALLYTANKMALLEPALLY(V)KONDAPUR(M)SANGAREDDYDISTRICT,TANK,2019,TELANGANA,23,25,4.9,6.5,7.3,7.9,1598,3150,3.4,8,10.37,38.3,2,2,,40,2019,"Calendar Year (Jan - Dec), 2019"
4244,"YERDANOORTANK,YERDANOOR(V)SANGAREDDYDISTRICT",TANK,2019,TELANGANA,22,24,5.8,7.2,6.6,7.8,590,3200,2,36,7.59,40.2,2,2,,26,2019,"Calendar Year (Jan - Dec), 2019"
4243,"ISNAPURTANK,ISNAPUR(V)PATANCHERU9M)SANGAREDDYDISTRICT",TANK,2019,TELANGANA,23,25,4.6,6.7,6.5,7.6,3370,15300,5.6,54,21.4,61.93,2,6,,210,2019,"Calendar Year (Jan - Dec), 2019"
4241,"CHITKULTANK,CHITKUL(V)PATANCHERU(M)SANGAREDDYDISTRICT",TANK,2019,TELANGANA,23,26,4.9,6.2,6.6,7.6,1110,4550,2.8,10,7.32,28.37,2,2,,40,2019,"Calendar Year (Jan - Dec), 2019"
4239,MAHABOOBSAGARTANKSANGAREDDY(V&M)SANGAREDDYDISTRICT,TANK,2019,TELANGANA,22,24,5.5,6.7,7.2,7.5,1060,1804,2.2,8,9.29,18.4,2,4,,70,2019,"Calendar Year (Jan - Dec), 2019"
4238,"AMEENPURCHERUVU,AMEENPUR(V&M)SANGAREDDYDISTRICT",TANK,2019,TELANGANA,23,28,5.1,6.5,7,7.4,1114,1992,3.2,12,5.24,23.62,2,18,,230,2019,"Calendar Year (Jan - Dec), 2019"
4233,"GADDAPOTHARAMCHERUVU,GADDAPOTHARAMVILLAGE,JINNARAMMANDAL,SANGAREDDYDIST",TANK,2019,TELANGANA,21,27,4.5,5.5,6.5,7.5,4860,8960,6.3,26,20.62,45.43,2,4,,70,2019,"Calendar Year (Jan - Dec), 2019"
4232,"KOMATICHERUVU,SIDDIPETTOWN,SIDIPETDISTRICT",TANK,2019,TELANGANA,19,30,6.1,7.2,6.6,7.9,678,1037,2,5.2,7.32,19.47,2,8,,40,2019,"Calendar Year (Jan - Dec), 2019"
4231,"RAYAMCHERUVU,BONTHAPALLYVILLAGE,JINNARAMMANDAL,SANGAREDDYDISTRICT",TANK,2019,TELANGANA,21,27,5.1,7.2,6.7,7.4,336,4750,2,4.2,2.36,23.22,2,2,,32,2019,"Calendar Year (Jan - Dec), 2019"
4225,"JOGULAMBATEMPLE,GADWAL",TANK,2019,TELANGANA,22,30,4,6.5,7.3,8.6,383,950,2.1,3,0.11,9.21,2,2,,18,2019,"Calendar Year (Jan - Dec), 2019"
3086,"SAKITANK,PATANCHERU,RANGAREDDY",TANK,2019,TELANGANA,18,29,6,7.5,6.4,7.9,282,2129,2,3,0.26,28.48,2,2,,50,2019,"Calendar Year (Jan - Dec), 2019"
3084,"WADDEPALLYTANK,KAZIPET,WARANGAL",TANK,2019,TELANGANA,27,39,4.6,5.9,7,8.1,588,741,3,6,0.4,0.83,2,2,,43,2019,"Calendar Year (Jan - Dec), 2019"
1783,"KISTAREDDYPETTANK,MEDAKDIST.",TANK,2019,TELANGANA,21,26,5.5,6.9,6.4,7.6,2441,6350,3.4,14,9.28,38.55,2,6,,210,2019,"Calendar Year (Jan - Dec), 2019"
1780,"GANDIGUDEMTANK,MEDAKDISTRICT",TANK,2019,TELANGANA,18,30,1.3,7.2,6.8,7.7,1840,4100,2,16,12.37,28.3,2,2,,50,2019,"Calendar Year (Jan - Dec), 2019"
1464,BIBINAGARTANK,TANK,2019,TELANGANA,17,24,5.4,7.3,6.2,7.8,443,2129,2.8,5,6.3,16.39,2,8,,140,2019,"Calendar Year (Jan - Dec), 2019"
4242,"LAKADARAMCHERUVU,LAKADARAM(V)PATANCHERU(M)SANGAREDDYDISTRICT",TANK,2019,TELANGANA,22,26,4.9,5.3,6.9,7.3,1190,1233,3.4,4,8.37,9.43,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
4230,"KISTAIPALLYTANK,KAZIPET,WARANGAL",TANK,2019,TELANGANA,21,26,6,6.9,6.7,7.4,1160,1498,2,3,5.41,12,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
3078,"PRAGATHINAGARCHERUVU,KUKATPALLY,RANGAREDDY",POND,2019,TELANGANA,26,30,0,4.1,7,7.5,594,1682,3,40,0.4,20,2,40,,430,2019,"Calendar Year (Jan - Dec), 2019"
2347,"ASANIKUNTA,KAJIPALLY,MEDAK",POND,2019,TELANGANA,21,26,0,0.1,6.5,7.4,3064,15750,77,286,7.75,94.81,2,10,,350,2019,"Calendar Year (Jan - Dec), 2019"
2346,"BHADRAKALICHERUVU,BHADRAKALITEMPLE,WARANGAL",POND,2019,TELANGANA,26,30,5.4,6.1,7.4,8.2,390,548,2,3,0,2.8,2,2,,50,2019,"Calendar Year (Jan - Dec), 2019"
4677,"LINGAMCHERUVU,SURARAM(V),QUTHUBULLAPUR",LAKE,2019,TELANGANA,27,29,0.1,3.2,7.1,7.6,1660,2047,24,50,16,48.2,2,28,,350,2019,"Calendar Year (Jan - Dec), 2019"
4696,"PARKICHERUVU,KUKATPALLY(V),BALANAGAR",LAKE,2019,TELANGANA,26,29,0,2.7,7.1,7.9,1213,2053,20,38,3.2,88.54,2,70,,540,2019,"Calendar Year (Jan - Dec), 2019"
4672,"MEDIKUNTA(WIPROLAKE),NANAKRAMGUDA",LAKE,2019,TELANGANA,22,31,0.1,3.6,6.7,7.9,1122,1756,14,30,8,24.46,2,22,,500,2019,"Calendar Year (Jan - Dec), 2019"
4669,"PEDDACHERUVU,GANGARAM(V)SERLINGAMPALLY(NEWMANDAL)",LAKE,2019,TELANGANA,28,28,0.1,2,7,8,1783,1916,24,28,12,18,2,26,,430,2019,"Calendar Year (Jan - Dec), 2019"
4235,LAKEKAMUNI(SHAMSHABADLAKE),LAKE,2019,TELANGANA,23,35,0,6.8,7.1,8.2,1037,2332,5.2,36,3.61,14.5,2,180,,490,2019,"Calendar Year (Jan - Dec), 2019"
3069,"SHAMEERPETLAKE,SHAMEERPET,RANGAREDDY",LAKE,2019,TELANGANA,23,30,3.8,5.2,7,7.9,578,820,3,4,0.26,2.3,2,2,,38,2019,"Calendar Year (Jan - Dec), 2019"
3068,"RAMAPPALAKE,WARANGAL",LAKE,2019,TELANGANA,25,30,5,6.7,7.3,8.1,242,340,2,3,0,2,2,2,,42,2019,"Calendar Year (Jan - Dec), 2019"
1789,"HIMAYATSAGARLAKE,R.R.DIST.",LAKE,2019,TELANGANA,25,30,4.4,6,7.2,8.3,380,444,2,4,0,9,2,8,,80,2019,"Calendar Year (Jan - Dec), 2019"
1788,"SAROORNAGAR,RANGAREDDYDIST.",LAKE,2019,TELANGANA,24,30,0,0.1,7.2,7.6,1360,1610,28,39,7,11.7,2,70,,540,2019,"Calendar Year (Jan - Dec), 2019"
3011,"PULICATELAKEATTHIRUVALLUR,TAMILNADU",LAKE,2019,TAMILNADU,24,31,3.1,6.5,6.1,8.3,24200,59500,2,9,0,3.05,2,680,,930,2019,"Calendar Year (Jan - Dec), 2019"
3009,"REDDHILLSATTHIRUVALLUR,TAMILNADU",LAKE,2019,TAMILNADU,29.2,31,3,7.8,6.6,8.6,420,2360,2,12,0,2.05,2,250,,2790,2019,"Calendar Year (Jan - Dec), 2019"
4676,"BANDACHERUVU,MALKAJIGIRI(V),MALKAJIGIRI(NEWMANDAL)",LAKE,2019,TELANGANA,26,30,0.1,5.4,6.9,7.9,1271,1739,28,44,16,56.46,,32,,430,2019,"Calendar Year (Jan - Dec), 2019"
2433,MARKANDAPOKHARI(RILIGIOUSPONDOFPURICITY),POND,2019,ODISHA,20,30,3.9,17.5,7.2,9,604,796,2.1,10.1,0.2,10.82,,17000,,54000,2019,"Calendar Year (Jan - Dec), 2019"
2129,PERIATTANKNEARWSSINTAKEPOINTJABALPUR,TANK,2019,MADHYAPRADESH,16.1,29.9,7.2,8.1,7.2,8.3,233,3370,1.4,1.9,0.34,1.6,2,10,,41,2019,"Calendar Year (Jan - Dec), 2019"
3831,"DALSAGARTALAB,DISTSEONI",POND,2019,MADHYAPRADESH,14,35.8,6.4,7.5,7.3,8.1,290,512,2.2,4.8,0.34,1.6,2,84,,430,2019,"Calendar Year (Jan - Dec), 2019"
3830,"GOKALPURTALAB,DISTJABALPUR",POND,2019,MADHYAPRADESH,15.8,27.9,6.2,8.2,7.3,8.3,239,796,2.2,7.2,0,2,2,140,,430,2019,"Calendar Year (Jan - Dec), 2019"
3301,MOTITALABATBALAGHAT,POND,2019,MADHYAPRADESH,13.9,35.9,6.1,8,7.3,7.8,320,4870,2.2,4,0.25,2,2,120,,540,2019,"Calendar Year (Jan - Dec), 2019"
3300,"RANITALTALAB,JABALPUR",POND,2019,MADHYAPRADESH,18,32.5,4.8,7.9,6.8,8.6,352,4620,2.1,13,0.28,3.64,2,350,,1600,2019,"Calendar Year (Jan - Dec), 2019"
3299,HANUMANTALJABALPUR,POND,2019,MADHYAPRADESH,17,30.1,6.4,7.1,7.1,8.4,340,853,3.2,5.4,0.2,2,2,240,,1100,2019,"Calendar Year (Jan - Dec), 2019"
4615,GANGASAGARJABALPUR,LAKE,2019,MADHYAPRADESH,18,32.1,6.4,7.5,7.3,8.3,350,642,2,5.2,0.29,2.61,2,48,,540,2019,"Calendar Year (Jan - Dec), 2019"
4614,SUPTALJABALPUR,LAKE,2019,MADHYAPRADESH,18.1,28.9,6.6,7.6,7.1,8.2,319,596,2,4.4,0.22,1.81,2,39,,540,2019,"Calendar Year (Jan - Dec), 2019"
2142,"KALISINDHRESERVOIRATSARANGPUR,RAJGARH",LAKE,2019,MADHYAPRADESH,13,27,4.5,8,7.3,9.6,149,666,1.2,2.3,0,0.86,2,2,,48,2019,"Calendar Year (Jan - Dec), 2019"
2135,GOVINDGARHLAKE,LAKE,2019,MADHYAPRADESH,20.5,32,6.2,7.4,7.1,7.8,270,399,0.9,1.5,0.12,0.41,2,2,,47,2019,"Calendar Year (Jan - Dec), 2019"
2128,KHANDARIRESERVOIRWATEROFFTAKEPOINT,LAKE,2019,MADHYAPRADESH,16.5,30.6,7.4,8.3,7.1,8.3,217,435,1.1,1.8,0.2,1.34,2,12,,40,2019,"Calendar Year (Jan - Dec), 2019"
2348,"KAJIPALLYTANK,KAJIPALLY,MEDAK",TANK,2019,TELANGANA,21,23,5.1,6.8,6.7,7.4,2021,3170,2.4,3,15.3,23.29,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
4680,"LAKNAVARAMCHERUVU,MULUGU(V)",LAKE,2019,TELANGANA,26,30,5.6,6.8,7.4,8.9,140,318,2,3,0.1,2.5,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
3033,SOHNALAKE,,2012,HARYANA/CPCB,,,,,8.4,8.4,155,155,2,2,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
4699,"KAPRAICHERUVU,SAHEBNAGAR(V),HAYATHNAGAR",LAKE,2019,TELANGANA,27,27,2.8,3,6.7,7.8,320,380,3,3,2.2,2.8,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
4688,NARINJALAKE,LAKE,2019,TELANGANA,24,24,6.2,6.5,7.1,7.4,443,641,2,2.7,8.38,10.3,2,2,,,2019,"Calendar Year (Jan - Dec), 2019"
2851,"PONDATKONGBABAZAR,IMPHALEAST",,2012,MANIPUR,28,31,0,10.2,6.8,8.2,301,475,6.4,26.8,,,,,15,65,2012,"Calendar Year (Jan - Dec), 2012"
2650,KHAZIARLAKE,,2012,HIMACHALPRADESH,4,23,5.5,14,6.3,7.2,39,363,0.7,52,0.31,2.04,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2358,MALLAPURTANK,,2012,ANDHRAPRADESH,20,29,0,2.9,7.5,8.4,1151,2374,11,75,0,34.3,500,900,1100,3260,2012,"Calendar Year (Jan - Dec), 2012"
2343,"PREMAJIPETTANK,KATTEDAN,RANGAREDDY",,2014,ANDHRAPRADESH,0,30,0,1.7,6,8.3,2014,13050,45,320,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3031,BHALSWALAKE,,2012,DELHI,,,,,8.8,8.8,9890,9890,13,13,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2433,MARKANDAPOKHARI(RILIGIOUSPONDOFPURICITY),,2012,ORISSA,23,32,7.3,18.9,7.5,9.2,588,838,2,13,0.3,10.43,1100,35000,2200,92000,2012,"Calendar Year (Jan - Dec), 2012"
1396,OSTERILAKE,,2012,PONDICHERRY,25,30,7,7.7,8,8.4,326,376,1.5,1.5,0.02,0.05,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3470,VELLAYANILAKEATVANDITHADOM,,2012,KERALA,27,31,4.8,7.8,6.3,7.8,108,260,1.5,5,0.05,1.05,200,900,1100,1700,2012,"Calendar Year (Jan - Dec), 2012"
3462,MANANCHIRAPONDATKOZHEKODE,,2012,KERALA,24,28,5,7.3,6.6,8,68,106,0.2,1.2,0.02,0.7,4,170,11,300,2012,"Calendar Year (Jan - Dec), 2012"
2330,RSVRATEDAMALAYAR,,2012,KERALA,26,32,7.1,8.1,6.6,8,23,50,0.3,1.7,0,0.7,2,1700,6,3000,2012,"Calendar Year (Jan - Dec), 2012"
2329,RSVRATBHOOTHATHANKETU,,2012,KERALA,25,31,7,8,6.7,8.4,22,44,0.5,2,0,0.7,20,1600,110,3500,2012,"Calendar Year (Jan - Dec), 2012"
2328,RSVRATMALAMPUZHA,,2012,KERALA,24,31,6,7.8,6.9,8.4,85,180,0.2,1.8,0,2.23,2,900,6,1600,2012,"Calendar Year (Jan - Dec), 2012"
2325,PONDAT(PADMANABHA)SREEPADMANABHASWAMYTEMPLE(TVPM),,2012,KERALA,27,31,6,8,7.5,7.9,182,306,1.5,4,0.25,1.1,30,260,500,900,2012,"Calendar Year (Jan - Dec), 2012"
2318,PAZHASSIRESERVOIR(KANNUR),,2012,KERALA,24,32,7,8.3,6.4,7.9,49,104,0.6,3.9,0.05,0.6,7,400,70,2200,2012,"Calendar Year (Jan - Dec), 2012"
2312,LAKEVEMBANADUATPATHIRAMANAL(ALAPPUZHA),,2012,KERALA,27,29,5.8,7.6,6.4,7.2,102,5800,0.1,4.1,0,0.5,240,1100,500,1600,2012,"Calendar Year (Jan - Dec), 2012"
1580,POOKOTE,,2012,KERALA,24,30,6,7.6,6.6,7.3,21,39,0.3,1.8,0,0.26,0,80,9,170,2012,"Calendar Year (Jan - Dec), 2012"
1579,ALAPPUZHA,,2012,KERALA,27,29,4.1,6.5,6.5,7.2,108,13300,0.7,5.7,0,0.98,220,3000,400,5000,2012,"Calendar Year (Jan - Dec), 2012"
1578,KAYAMKULAM,,2012,KERALA,27,29,4.2,8.2,6.5,8.1,620,56000,1.7,7.6,0,0.56,170,2200,400,2800,2012,"Calendar Year (Jan - Dec), 2012"
1577,KODUNGALLOOR,,2012,KERALA,27,30,5.2,6.8,6.7,7.9,182,38720,1.3,3.9,0.13,0.8,2,1100,80,6000,2012,"Calendar Year (Jan - Dec), 2012"
1576,THEKKADY,,2012,KERALA,22,27,6.7,7.7,7.2,7.7,42,80,0.3,2,0.06,0.2,100,700,200,1100,2012,"Calendar Year (Jan - Dec), 2012"
1575,KOCHI(OILTANKERJETTY),,2012,KERALA,27,32,4.3,7.3,7,8.2,3199,44670,1,3.8,0.12,0.71,40,1600,500,3000,2012,"Calendar Year (Jan - Dec), 2012"
1574,PARAVUR,,2012,KERALA,25,29,5.2,7.7,6.8,7.8,1220,30240,0.8,4.2,0.19,1.9,80,500,220,900,2012,"Calendar Year (Jan - Dec), 2012"
1441,ASHTHAMUDILAKEATQUILON,,2012,KERALA,23,30,1.2,6.8,6.9,8.3,19850,59800,1.4,18,0.5,2.8,110,500,220,1100,2012,"Calendar Year (Jan - Dec), 2012"
1385,SASTHAMCOTTALAKE,,2012,KERALA,24,31,6.4,7.9,6.2,7.8,48,95,0.4,0.8,0.04,0.8,40,350,110,900,2012,"Calendar Year (Jan - Dec), 2012"
2076,ANKLESHWARRESERVOIRATGIDCANKLESHWARATVALIAROAD.,,2012,GUJARAT,21,29,5.6,12.4,7.9,8.6,240,471,0.7,5,0.18,0.77,2,260,2,2800,2012,"Calendar Year (Jan - Dec), 2012"
1373,UPPERLAKEATBHOPAL(INTAKEPOINT),,2012,MADHYAPRADESH,20,30,5.3,8.8,7.1,8.4,229,448,0.6,2.9,0.1,2.1,0,6,11,140,2012,"Calendar Year (Jan - Dec), 2012"
2137,UPPERLAKEATYATCHCLUB,,2012,MADHYAPRADESH,23,32,5.1,18.1,7.5,8.9,236,648,1.8,4.4,0.1,2.3,0,7,11,900,2012,"Calendar Year (Jan - Dec), 2012"
2138,UPPERLAKEATKARBALACLUB,,2012,MADHYAPRADESH,21,29,5,14,7.1,8.3,232,472,0.9,7.3,0.3,17.7,0,8,11,220,2012,"Calendar Year (Jan - Dec), 2012"
2139,UPPERLAKEATBAIRAGARHCLUB,,2012,MADHYAPRADESH,20,30,5.5,10.5,7.3,8.4,229,430,1.5,7.2,0.42,2.25,2,6,14,130,2012,"Calendar Year (Jan - Dec), 2012"
1383,ORUVATHILKOTTALAKE,,2012,KERALA,27,33,1.4,7.9,6,7.9,290,2620,1.9,4.8,0.2,1.87,210,800,1600,1700,2012,"Calendar Year (Jan - Dec), 2012"
1446,HEBALLAVALLEYLAKEATD/SROADBRIDGENR.MANDYA,,2012,KARNATAKA,24,31,2.4,3.8,7.3,7.5,418,494,4,7,0.53,0.71,1600,9400,1600,43000,2012,"Calendar Year (Jan - Dec), 2012"
2574,SURAJKUNDATGAYA,,2012,BIHAR,16,30,5.1,8.8,7.1,8.6,319,910,2,2.9,,,1100,9000,2400,24000,2012,"Calendar Year (Jan - Dec), 2012"
2573,TIGHITALABATGAYA,,2012,BIHAR,15,30,6.8,8.2,6.6,7.9,83,805,2,3,,,2400,9000,5000,24000,2012,"Calendar Year (Jan - Dec), 2012"
2571,MOTIJHEELATMOTIHARII,,2012,BIHAR,13,33,7,8.6,7.4,7.9,365,656,2.5,3,,,1300,9000,3000,24000,2012,"Calendar Year (Jan - Dec), 2012"
2557,"KAWARLAKE,BEGUSARAI",,2012,BIHAR,16,21,4.2,8.6,7.6,8,455,465,2.8,3,,,1700,3000,3000,5000,2012,"Calendar Year (Jan - Dec), 2012"
1728,"RUDRASAGAR,SONUMURA",,2012,TRIPURA,27,29,6.2,6.8,7.8,8,230,258,2.8,3.8,0.52,0.94,380,580,560,620,2012,"Calendar Year (Jan - Dec), 2012"
1727,LAXMINARAYANBARIPALACECOMPOUND,,2012,TRIPURA,26,30,6.4,6.8,7.6,7.8,222,250,2.8,3.6,0.62,1.34,320,460,440,520,2012,"Calendar Year (Jan - Dec), 2012"
3349,TASEKLAKEATSONGSAK,,2012,MEGHALAYA,20,31,6.5,9,6.8,8.2,40,78,0.8,2.4,0.4,6.44,2,19,17,42,2012,"Calendar Year (Jan - Dec), 2012"
1459,THADLASKEINLAKE,,2012,MEGHALAYA,15,26,6.2,8.2,6.7,7.3,30,70,1.2,2.5,0.32,2.2,14,49,29,79,2012,"Calendar Year (Jan - Dec), 2012"
